word,pronunciation,word_type,definitions,examples,pl
leɛ,lɪɛ́ ̀,v,,,
eebo,lìɛ̀-ɪɪ́ bʊ́	́,v,,,
leɛgɔɔtɔbaa,lɪɛ́ gɔ́ ̀ɔ́tɔ̀báá,n,,,
leɛne,lɪɛ́ nɪ́,,,,
leɛne,lɪɛ́ nɪ́,,,,
leɛre,lɪɛ̀ ̀rɪ,,,"Ba leɛre la a kpaaroŋ biŋ bieo. They have rescheduled the meeting for tomorrow. (2) to return, to give back, o leɛre la a o gane ko o. She has returned his book to him. (3) to repudiate, to turn round, A nannyige boɔrɔ ka o leɛre a yɛlɛ tuo a o tutɔ. The thief is trying to shift the theft onto his friend. leɛ rɛɛ, leɛrɛ, leɛre terɛ, leɛre terebɛ, leɛ teraa",
leɛre,lɪɛ́ rɪ́,,,"O de la bɛŋɛ leɛre ne kyi. S/he substituted beans for millet. (2) change position, A dɔɔ leɛre la a boore kpɛ ne maaroŋ. The man moved the goats from the sun into the shade. (3) substitute, take the place of, A bɔlŋmeɛrɛ kaŋa perɛɛ la ka bonyuo kpɛ leɛre o zu. As one of the football players was injured they brought in another player to substitute him.",
leɛre,lɪɛ́ rɪ́,,,"A zɔɔzɔɔreba da leɛrɛ la nuuri ennɛ taa. The fighters were throwing their hands in each other’s face., A lɔɔre naŋ da wa ire n ma da leɛre la o nu ko ma ka n poɔ zaa sãã. As the lorry took off my mother waved me but I was very sad. (2) wave hand vigorously in the face of another, usually in anger, Dɔbɔ mine bayi da toora la taa kyɛ leɛrɛ nuuri ennɛ taa. Two men were waving their hands angrily in each other’s face.",
lege,lɪgɪ̀,,,"A tẽe-erɛ de la tẽe lege a baala tobo ne o gbɛɛ. The herbalist applied some ointment to the patient’s ears and legs. legɛɛ, legerɛ, legerɛ, legerebɛ, legeraa",
lege,lɪgɪ̀,,,"Ba lege la a naŋkpaana ŋa mɔyɔ tẽe. This hunter has been fortified against the attack of dangerous animals. legɛɛ, legerɛ, legerɛ, legerebɛ, legeraa",
lege,lɪgɪ́,,,,
legelege,lɪgɪ̀ lɪ̀ gɪ́,,,"A dɔɔ da feere la a nannyige kɔkɔre ka o te legelegerɛ. The man held the thief’s throat and he struggled to breathe. legelegɛɛ, legelegɛ, legelegɛ, legelegerebɛ, legelegeraa",
legere,lɪgɪ́ rɪ́,,,,
legere,lɪgɪ́ rɪ́,,,,
legere,lɪgɪ́	rɪ́,,,,
legere,lìgɪrɪ̀,,,,
legiri,légirí,v,,"Kɔrre da pere la kyi yaga, ka a koɔreba la te legiri. Partridges have scratched up most of the millet that was sown and the farmers had to resow. legiree, legire, legire, legiribe, legiraa",
legiri,légirí,v,,"Dagaaba ba nɔŋ bibile naŋ legire neŋkponni. The Dagaaba do not take kindly to children who argue with elderly people. legiree, legire, legire, legiribe, legiraa",
lekere,lɪkɪ́ rɪ́,,,A bikpoŋ na erɛ la lekere yɛlɛ yelmeŋɛ. That big boy behaves in a boastful manner.,
kõɔ,lè kʊ̀̃ ɔ́,adj,,,
lɔɔ,lè lɔ́g,adj,,,
lenni,lénní,v,,,
lenni,lénní,v,,,
lenni,lénní,v,,,
leŋi,lèŋ,v,,,
leraa,lɪráá,,,,
lere,lérè,n,,,
lere,lɪrɪ́,,,,
leree,lèrèè,adj,,,
tobo,lè tòbó,adj,,,
ata,lɪzáɛ̀ ̀ átà,adv,,,
ayi,lɪzáɛ̀ ̀ áyì,adv,,,
anuu,,,,,
lezare,lɪzárɪ̀,adv,,,
yeni,lɪzárɪ̀	̀ nɪ́ yénì,adv,,,
lɛ,lɛ,,,"Lɛ ka a waa. So it is. (2) as it is, at that point, Meŋ bare a zoma lɛ.",
lɛbiri,lɛ̀bírì,n,,,
lɛɛ,lɛ̀ɛ̂,interj,A: A dɔɔ ŋmaa na gaa la dansareka kyɛ yi. B: Lɛɛ? A: That short man is an exconvict. B: Is that so?,,
lɛɛ,lɛɛ́,,,"o are la be lɛɛ wa te bale. S/he waited until s/he became tired. (2) continuous and for quite sometime, Ba yeli ka a sori e la ŋmaa kyɛ ka te kyɛŋe o lɛɛ ka ŋmenaa te kpɛ. We were told the journey was not long but walked and walked until dusk. Var. lɛɛŋ",
lɛgerɛŋ,lɛgɪ́ rɛ̀ ŋ,,,,
lɛmɛlɛmɛ,lɛmɛ́	lɛ́	mɛ́,,,,
lɛmpɛrɛŋ,lɛmpɛ́ rɛ́ ŋ,,,,
lɛnɛɛ,lɛ̀nɛɛ́ ̂,conj,,"N ba baŋe lɛnɛɛ N naŋ na e pampana. I don’t know what to do next. (2) how, Fo baŋe la lɛnɛɛ ba naŋ maŋ sɛ kparoo? Do you know how a shirt is sewn?",
lɛnlɛŋko,lɛnlɛ́	ŋkò,,,,
lɛnne,lɛ̀nnɪ,,,,
lɛntɛre,lɛntɛ́ rɪ́,,,,
lɛŋŋɛlɛŋŋɛ,lɛŋŋɛ́ lɛ́ ŋŋɛ́,,,,
lɛre,lɛ̀rɪ,,,,
lɛre,lɛrɪ́,,,"A bɔlŋmeɛrɛ kaŋa perɛɛ la ka boŋyuo kpɛ lɛre o zu. One of the football players got injured and another replaced him. lɛrɛɛ, lɛrɛ, lɛrɛ, lɛrebɛ, lɛraa",
libibinzie,lìbíbìnzíé,n,,,
libibɔ,líbíbɔ́,n,,,
libidaana,líbídááná,n,,,
libidi,líbídì,n,,,
libima,líbímá,n,,,
libiri,lìbírì,n,,,
libizɔŋe,líbízɔ́ŋ,n,,,
libu,líbú,n,,,
liemu,lìèmú,n,,,
lige,lìgè,adj,,,
ligi,lígí,v,,,
ligi,lìgì,v,,,
ligi,lìgì,v,,,
ligi,lígí,n,,,
ligiki,lìgìkì,adv,,,
liiri,líírí,v,,,
liiri,lììrì,v,,"Pampana ŋa ka ba deɛ kyɛŋ liiri la a taŋa puori They just went behind the hill and out of sight a short while ago. liiree, liire, liire, liiribe, liiraa",
limbo,límbò,n,,,
limelime,lìmèlìmè,adv,,Zimaa limelime ka noore maŋ gaŋe. Fowls sleep when darkness is setting in.,
limm,lìmm,adv,,"Ka zieŋ wa soɔrɔ vaare poɔ maŋ waa la limm lɛ. When it is dusk, it is dark in the thick vegetation.",
limpiriŋ,lìmpìrìŋ,adj,,,
linni,lìnnì,v,,,
linni,lìnnì,v,,,
linni,línnì,v,,"A bie na la zu a libie kyɛ ka o ma linni o. That boy stole the money but his mother covered him up. linnee, linne, linne, linime, linnaa",
liŋe,líŋé,n,,,
liŋgbiraa,lìŋgbíráá,n,,,
liroo,líróó,adv,,,
Lobaa,lòbàà,n,,,
loge,lʊ̀ gɪ,,,,
logere,lʊ́gɪrɪ́,,,,
logerɔŋ,lʊ̀ gɪrɔ̀	̀ŋ,adv,,,
logɛɛ,lʊ̀ gɛ̀ɛ̀,adj,,,
logi,lògí,n,,,
logi,lógì,n,,,
logi,lógì,n,,,
logi,lògì,v,,"A bie logi la bogi a dankyini seɛ de a libiri ũũ. The child made a hole at the base of the wall and buried the money there. logee, logro, logro, logribo, lograa, - Var. loguu",
logi,lógí,adj,,,
logiri,lògirì,v,,"A kɔrre logiri la a bɛŋɛ ba naŋ bore. The partridges have scratched to remove the beans that were sown. logiree, logiro, logiro, logribo, logiraa logiri noɔre to pester, to bother (for information), O logiri la o serɛ noɔre ka o na yeli a zɔɔre pare ko o. She pestered her husband to tell her the cause of the fight.",
logitogo,lògìtògò,adv,,Ba yage la a baa lɛ logitogo. They have dug the pond very big.,
logitogo,lógítógó,adv,,A kparoo zomɔ deɛ waa la lɛ logitogo. The pocket of the shirt is very shallow.,
logoko,lògòkò,adv,,"A dɔɔ nimie logoko. The man’s eyes are deep set. logoko [lógókó] adv. deep set and small, A bie nimie logoko. The child’s eyes are deep set. lohoo [lòhòó] n. a type of tree with",
lõilõi,lṍĩlṍĩ́,,,,
lomm,lʊ̀ mm,adv,,,
lomolomo,lómólómó,adv,,Duoronwoɔ maŋ waa la lomolomo lɛ. The urinary bladder is soft and jellylike.,
lomɔlomɔ,lʊ̀ mɔ̀lʊ̀ mɔ̀,adv,,,
lonlommu,lǒnlǒmú,n,,,
lonni,lònnì,v,,,
loŋgoroŋ,lʊ̀ ŋgʊ̀ rʊ̀ ŋ,adj,,,
loŋkoroo,lóŋkóróò,n,,A waabo zo kpɛ la a die loŋkoroo kaŋa poɔ. The snake ran into one of the dark corners of the room.,
loŋŋo,lǒŋŋò,n,,,
loɔ,lʊ́ɔ́,n,,,
loɔraa,lʊ́ɔ̀ráá,n,,,
loɔre,lʊ́ɔ́rɪ,,,"A lɔnnɔ lɔnne la a ulee te ta o manzelɛ. The squirrel moved along the branch up to the tip., A bie dɔgereba taa la ba bibaal loɔre ne a asibitiri yaga kyɛ baŋ nyɛ sammo. The sick child’s parents took him through several hospitals before he was cured. loɔrɛɛ, loɔrɔ, loɔrɔ, loɔreba, loɔraa",
loɔre,lʊ̀ ɔ̀rɪ,,,,
loɔre,lʊ̀ ɔ̀rì,v,,,
loregboro,lʊ̀ rɪgbʊ̀	̀ rʊ̀,adv,,,
lori,lòrí,n,,,
lori,lórì,v,,"Sẽɛ̃ saŋa don-lenni maŋ ŋmeene la kyɛ ka ba wa bare a uoni ka lee, lori a zaa. During the farming season, tethered animals are lean, but they bounce back in weight when ranging free during the dry season. -, loro, loro, loribo lori noɔre to break a fast lori pɛnne to tell lies",
lori,lórí,n,,,
lori,lòrì,adv,,,
loroto,lórótó,adv,,,
loroto,lórótó,adv,,,
lɔbɔ,lɔ́bɔ́,n,,,
duoraa,lɔ́ɛ̀ dúóráá,n,,,
lɔge,lɔ́gì,n,,,
lɔgetɔgɔ,lɔ̀gɪtɔ̀ ̀gɔ̀,adv,,,
lɔgɔ,lɔ̀gɔ̀,n,,,
lɔgɔ,lɔ́gɔ́,n,,A bie bebiri zaa baaloŋ vɛŋɛɛ ka o dɔgerebɔ lɔgɔ zaa yi. The child’s frequent illness has made his parents helpless.,
lɔlɔraa,lɔ̀lɔ̀ráà,n,,,
lɔlɔrezeɛ,lɔ̀lɔ̀rɪzɪ̀	ɛ̀,,,,
lɔmɛɛ,lɔ̀mɛ̀ɛ̀,adv,,"A ŋmaaŋa lɔnne la a teɛ ulli zaa kyɛ baŋ sigi. The monkey climbed through all the branches of the tree before coming down. lɔŋɛɛ, lɔnnɔ, lɔnnɔ, lɔnema, lɔnnaa, lɔnema Var. loɔre",
lɔnnɔ,lɔ̀nnɔ́,n,,,
lɔŋe,lɔ̂ŋ,v,,,
lɔŋe,lɔ́ŋ,v,,,
lɔŋɔ,lɔ́ŋɔ́,n,,,
lɔɔ,lɔ̀ɔ́,n,,,
lɔɔ,lɔ́ɔ́,v,,"A pɔgeba veɛlɛ la kyɛ a bonsɔgelaa naŋ lɔɔ ba zaa. The women are beautiful, but the black one beats them all. (5) to put drops into (eyes) (6) to dash a buyer for an item bought",
lɔɔbiri,lɔ́ɔ́bírí,n,,,
lɔɔre,lɔ́ɔ́rɪ,,,,
lɔɔre,lɔ́ɔ́rɪ,,,lɔbɔ,
wullo,lɔ́ɔ́-wúlló,n,,,
lɔre,lɔ̀rɪ,,,,
lɔre,lɔ̀rɪ,,,"A pɔge bonsuuri la so ka o lɔre. The woman’s clothing has made her ugly. lɔrɛɛ, lɔrɔ, lɔrɔ, lɔreba, lɔraa, lɔreba",
lɔre,lɔ̀rɪ,,,"Ka a bieŋ ba lɔre o da na tuo la a daga ŋa eŋ. If the child had not been weak, he could, at least, have carried this box.",
lɔre,lɔ́rɪ,,,"N zaameŋ ba yeli ka fo na lɔre la zenɛ, ana naane ka fo ba toɔle fo libie. Didn’t I say you would be lucky today? See, your father has sent you money. lɔrɛɛ, lɔrɔ, lɔrɔ, lɔreba, lɔraa, lɔreba Var. nɔre",
lɔre,lɔ̀rɪ,,,,
lɔrehazie,lɔ́rɪházìé,,,,
lugi,lùgì,v,,,
lugi,lùgì,v,,,
lugiri,lúgirí,n,,,
lugiri,lúgirí,v,,,
luŋguri,lùŋgúrì,n,,,
luori,lùòrì,v,,"A bie baaloŋ eɛ la kao gbɛe luori. The child’s sickness has caused his legs to become bowed. (2) to extend the size of a vessel, A pɔgebeɛlebɛ da luori la poore na di dooga. The bridemaids had prepared their stomachs to feast. luoree, luoro, luoro, luoribo, luoraa",
luou,lùòú,n,,,
luri,lùrì,v,,,
luri,lúrì,v,,"A vũũ ba dire ka nyoore luri a korodie zaa. The fire is not burning cleanly, so the kitchen is choked with smoke. luree, luro, luro, luribo, luraa",
luri,lúrì,v,,"A kɔŋŋmeɛrɛ luri la a koɔre eŋ a gyile poɔ ne toori. The gourd drummer played the drum alongside the xylophone with artistry. luree, luro, luro, luribo, luraa",
luroluro,lúrólúró,adj,,"A nɔzage waa la luroluro lɛ. The hen coop is roudish within. luroluro [lùròlùrò] adv. in a circular shape (usually within a big enclosure), A taŋa bogi e la luroluro. The inner part of the cave is large and round.",
lurri,lúrrì,v,,"Ba maŋ lurri la vubiri ka o naa ta ona ka waa tõõ nyɛ. A yam mound is usually enlarged by adding more soil to enable the yam bear a good tuber. lurree, lurro, luribo, lurraa",
luuraa,lùùráà,n,,,
luuri,lùùrì,v,,,
luuri,lùùrì,v,,"O daare yeli ka o baŋe la a nannyige kyɛ ka zenɛ ka leɛ luuri o noɔre. S/he said s/he knew the thief, but today s/he denies that s/he said so. (2) to return something in exchange for something else, A dɔɔ luuri la n libie ko ma kyɛ de o noɔ. The man has returned my money and taken back his fowl. -, luuro, luuro, luuribo, luuraa, lure",
ma,mǎ,n,,,
ma,mà,v,,Goore ma la a kparoo. Thorns are stuck to the shirt.,
ma,má,part,,Ma fo na gaa la? I suppose/hope you will go?,
ma,má,pron,,O de la a gane ko ma. S/he has given the book to me.,
maa,máâ,pron,,"O yeli ka maa la sãa. S/he said it was I who was wrong. (2) me (first person singular strong form), Maa la so a gane. The book belongs to me. maa [máà] v. (1) to be wet, Saa mie la ka a teŋɛ zaa maa. It has rained, making the ground wet. (2) to be cold (objects), A baala nyu la tẽẽ ka o eŋɛ leɛ maa a zaa.",
maa,màà,adv,,"O ma naŋ da kpi o deɛ kono la nentaŋ maaa. When her mother died, she was shedding tears uncontrolably. (2) slimy",
gbɛre,máá gbɛrɪ́,,,"Ba naŋ boɔle o o ba maa gbɛre kyɛ wa. When he was called, he did not waste time but responded promptly.",
maalam,máálàm,n,,,
maale,mààlɪ,,,"A kɔnarata maale la baraakyi ŋmaa a baa. The contractor has built a bridge across the river. (2) to cook, Boŋ bondirii ka a bondimaala na maale zenɛ? What food will the cook cook today? maalɛɛ, maala, maala, maaleba, maalaa",
maale,mààlɪ,,,"Ba maale la a die poɔ veɛlaa. They have cleaned the room well. (2) to pacify, to offer sacrifice, ",
maale,máálɪ,,,A yidaandɔɔ maale la a yɛlɛ ka a zɔɔre baare. The family head calmed tempers and ended the quarrel.,
maalekondi,mààlɪkʊ̀ ́ndí,n,,,
maaleŋ,mààlɪŋ,,,Saa la maaleŋ miire tu. The rain just pours too much.,
maaleŋ,mààlɪŋ,,,Saa la maaleŋ miire tu. The rain just pours too much.,
maane,màànɪ,,,A kuree feele o la ka o pare deɛ waa maane lɛ The undersized pair of knickers has made his buttocks flat. (2) premature (egg),
maanee,máánɪɪ́,,,,
noɔre,máá nʊ́ɔ́rɪ,,,,
maaŋmeɛ,máàŋmɪɛ́ ̀,n,,,
maare,máárɪ,,,,
maaroŋ,máárʊ́ŋ,adj,,O taa la maaroŋ zuo lɛnso ka ba wa pɔge kpaaroŋ. He is very slow and that is why he did not come to the meeting.,
maaroŋ,máárʊ́ŋ,adj,,"Firigyi kõɔ maŋ e la maaroŋ. Water stored in the fridge is always cold. (2) wet, Ka saaŋ mi a zie zaa maŋ e la maaroŋ lɛ. When it rains, the whole place becomes wet.",
maaroŋ,máárʊ́ŋ,n,,"Yuoni ŋa a maaroŋ zuoe la. This year, the cold is excessive. (2) shade, Tentoloŋ saŋa dendɔre teɛ maaroŋ maŋ tere la zemmo.",
maaroŋ,máárʊ́ŋ,n,,Ka zieŋ na maale ferebo ka maaroŋ be be. If development is to take place there must be peace.,
maaroŋ,máárʊ́ŋ,n,,Maaroŋ kpɛ la dɔɔ ka o gaa asibiti. The man has a fever and has gone to the hospital.,
maasa,máásà,n,,,
suuri,máà súúrí,v,,,
maayee,mááyéé,adv,,"Nannyigiri da ŋmaa la a woɔ pare iri a libie, ka a dɔɔ da wa tuno a woɔ ka maayee. Thieves had cut the bottom of the bag and removed all the man’s money, and when he later put his hand into the bag, it was empty.",
mabie,mábíé,n,,,
mabiekontapɔgema,mábíékʊ́ntápɔ́gɪmá,,,,
mabile,màbílé,n,,,
mabo,màbʊ̀,adv,,,
maee,màɪɪ̀,,,A pɔgelee niŋ waa la maee lɛ. The girl’s face is looking red.,
maemae,máɪmáɪ́,,,A fele e la zeɛ maemae lɛ. The saw is bright red.,
magaka,màgakà,adv,,"Karekyere maŋ mage la gane velaa. Literate people write well. (2) to make beautiful patterns; usually on some clothes, A teelɛ mage la a kparoo niŋe ne puori zaa. The tailor has designed both the front and back of the shirt. magɛɛ, magra, magra, magreba, magraa",
magedalee,mágɪdàléé,,,,
magelakala,màgɪlàkàlà,,,,
magelaŋ,màgɪlàŋ,,,,
magere,mágɪrɪ́,,,,
magetaga,mágɪtàgà,,,,
makoma,màkʊ́má,n,,,
makontulo,màkʊ́ntúló,n,,,
makoŋkommuulitoori,màkʊ́ŋkʊ́mmúúlítòòrí,n,,,
makpẽɛ,màkpɪɛ̃́ ̃,,,,
makpoŋ,màkpóŋ,n,,,
malaa,màláà,n,,,
malammalam,màlàmmálám,adj,,,
malantamm,màlàntàmm,adj,,,
male,màlɪ,,,O male ka o so la kõɔ̃,
male,màlɪ,,,"Fomeŋɛ ka na male. You will only end up punishing yourself., Ka fo saaŋ yeli ka fo gaa sakuuri ka fo zagere fomeŋɛ ka male. If your father sends you to school and you refuse you only punish yourself. malɛɛ, malla, malla, maleba, malaa, maleba",
male,màlì,adv,,,
malefa,málɪfà,,,,
malefabiri,málɪfàbírì,,,,
malefala,màlɪfàlà,,,,
malemale,málɪmálɪ́,,,,
malemale,màlɪmálɪ̀,,,,
mana,máná,n,,,
mana,mànà,part,,kɔlaa la kpɛ a die ona la ɔɔ a nɛne mana. A cat went into the room; of course it is the one that has eaten the meat.,
manamana,mànàmànà,adj,,,
mankyere,mánʧɪrɪ̀,,,,
mankyɛlɛ,mánʧɛ̀lɛ̀,n,,,
manne,mánnɪ,,,,
manne,mánnɪ,,,"O manne la a zɔɔre pare. S/he explained the cause of the fight., N naŋ da gaa n zɔmeŋɛ dɔgoo bebiri tigiri N da kuli te manne la a zaa ko n dɔgereba. After attending my best friend’s birthday party, I went home and narrated everything to my parents. mannɛɛ, manna, manna, manema, mannaa",
mannoɔre,mànnʊ́ɔ́r,n,,,
mansugiri,mànsùgìrì,n,,,
mansugo,mànsùgò,n,,,
mantare,màntàrɪ,,,,
mantaroo,màntàrʊ́ʊ́,n,,,
manteɛ,mǎntɪɛ̀,,,,
manzelɛ,mànzɪlɛ́,,,,
maŋgalaŋ,màŋgàlàŋ,adj,,,
maŋgaŋene,màŋgáŋɪnɪ́,,,,
maŋgbɛre,máŋgbɛrɪ́,n,,,
mapo,mápʊ̀,n,,,
mara,màrà,n,,,
mara,màrà,adv,,,
maraa,máráá,n,,,
maraa,máráá,n,,,
maraa,màràà,adj,,A pɔge suuri naŋ iri na fo maŋ yeli la yɛlɛ ko o ka e maraa. The woman is annoyed so when you talk to her she stays mute.,
maraawa,màrááwà,n,,,
maramara,màràmàrà,adj,,Saa mie la kõɔ laare a tɛne ka a waa maramara lɛ. The soil has been beaten by rain and has become marshy.,
marata,màràtà,adv,,,
mare,màrɪ,,,"Dunduli mare la a vaa poɔ. There is a caterpillar hanging on the leaf. marɛɛ, mara, mara, mareba, maraa",
mare,màrɪ,,,"A pɔge mare la a bie ka na gbiri. The woman has carried the baby on her back in order to make it sleep. marɛɛ, mara, mara, mareba, maraa",
mare,màrɪ,,,"Te maŋ mare vũũ maale seemaa. We build a fire before we cook food. marɛɛ, mara, mara, mareba, maraa",
mare,márɪ,,,,
marekpɛ,màrɪkpɛ̀ ̀,v,,Koŋkombie mine maŋ marekpɛ la a kotuo deme. Some lyrics of funeral dirges tease the bereaved family.,
meele,mɪɪ̀ lɪ̀,,,"O sɔgele gaa toŋ la a toma o yoŋ, o deɛ boɔrɔ ka o meele ma. S/he did the work alone behind me; I think this is aimed tarnishing my image. meelɛɛ, meelɛ, meelɛ, meelebɛ, meelaa",
eŋ,mɪɪ̀ lɪ̀ ̀ ɪŋ,,,Waabo doŋ la a nɔnyaŋaa ko ka ba nyɔge nɔdaa meele eŋ a nɔbilii. The mother fowl was killed by a snake and so a cock was tamed to replace it. (2) metaphor (literature),
meelɛ,mɪɪ̀ lɛ́ ̀,n,,,
meeloo,mɪɪ́ lʊ́ ́ʊ́,adj,,,
meemee,mɪɪ̀ mɪ̀ ɪ́,,,"A bie meemee la pare ka o koŋ gaa. The child swung his bottom, indicating that he would not go. meemeeɛ, meemeenɛ, meemeenɛ, meemeenemɛ, meemeenaa",
meɛ,mɪɛ́ ̀,v,,"A bibarewono na zu la o ba libie kyɛ de meɛ ne o yɔɔlee. That naughty boy stole his father’s money and incriminated his younger brother. meɛɛ, meɛnɛ, meɛnɛ, meɛnemɛ, meɛnaa",
meɛbo,mɪɛ́ bʊ́ ́,n,,"A pɔge meɛbo wuli ka o taa la seɛ yelmeŋɛ. The woman’s structure shows she has a really large waist. (2) character; a distinguishing feature, A pɔlebile na meɛbo ba veɛlɛ. That young man’s character is not good. Var. meɛroŋ",
meɛloŋ,mɪɛ̀ ̀lʊ́ŋ,n,,,
meɛroŋ,mɪɛ̀ rʊ́	̂ ŋ,n,,,
megemege,mìgɪmɪ̀ gɪ́,,,,
melaa,mɪláá,,,,
melaa,mɪláá,,,,
mele,mɪlɪ́,,,"Ba maŋ mele la dabɔgɔ ka donne na ta sãã o poɔ bombulo. Gardens are fenced to prevent animals from destroying the plants. (2) to entangle, Ba ba leŋ a boɔ lɛnso ka o mele kpi. The goat was not tethered well and so it got entangled and died. (3) to spread all over an object (ants), Zuluŋ mele la bokũũ. Soldier ants are all over the carcas. (4) to tattle, to gossip, Bibiiri nɔŋ la mele taa. Children like tattling on each other. melɛɛ, melɛ, melɛ, melbɛ, melaa melekala [mɪlɪ̀ kàlà]̀ adj. large and",
melekala,mɪlɪ́ kálá,,,,
melele,mɪlɪ́ lɪ́,,,,
meletaa,mɪlɪ́ táá,,,"Ka noba laŋkpeɛboŋ na noma a seŋ ka ba bare meletaa. If people want to live in harmony, they must put an end to talebearing.",
melle,mìllɪ,,,"Soɔ da kyebe kyɛ a dɔɔ da de la o nu melle ne a miri ŋmaa. There was no knife, but the man twisted the rope until it snapped. mellɛɛ, mellɛ, mellɛ, melbɛ, mellaa",
meloo,mélóó,adv,,"O nɔnoɔ zuoe la, a bẽẽ ka o de e meloo. S/he has a taste for delicious things, so s/he licked the broth at once.",
menekana,mɪnɪ̀	kànà,,,,
menɛ,mɪnɛ́,,,,
menne,mɪnnɪ́,,,"A dɔɔkpeɛŋaa na are la dendeŋ kyɛ menne a o tɔ na bare ka o te le. The strong man heaved and threw his opponent away. mennɛɛ, mennɛ, mennɛ, menemɛ, mennaa menne [mɪnnɪ́ ]́ v. to swallow food in large gulps, Kɔŋ da kpɛ o la te zuo ka o maŋ deɛ ŋmaa a saabo menne bare. The man was so hungry that he swallowed the food in gulps. mennɛɛ, mennɛ, mennɛ, menemɛ, mennaa",
mennoŋ,mɪnnʊ́ ́ŋ,n,,O mennoŋ zuiŋ noba zaa nɔŋ la o yɛlɛ. All people like him because of his righteousness.,
menselɛ,mɪnsɪ́ lɛ́,,,"Gandaa menselɛ ka fooŋ da ba peɛle a bie kpie. Well done; if you had not been around, the child would have died.",
meŋ,mɪŋ,,,Fo meŋ na gaa la be? Will you go too?,
meŋɛ,mɪŋɛ́,,,Maa meŋɛ la na gaa a kuori. I myself will attend the funeral.,
meŋɛ,mɪŋɛ́,,,"O teɛre ka o waa la meŋɛ zaa kyɛ maa ba teɛre. S/he claims to be good, but I doubt it.",
mere,mɪrɪ́,,,"Vũu nyege o la ka o mere nu. Fire burned her hand and she shook it. merɛɛ, merɛ, merɛ, merebɛ, meraa, merebɛ",
mere,mɪrɪ́,,,"Ba kyɔre la baa mere a mui. They have harrowed the river valley and broadcast the rice. merɛɛ, merɛ, merɛ, merebɛ, meraa, merebɛ",
mere,mɪrɪ́,,,"A naapoɔ na da bɛɛ la lɛnso ka o mere bare. That pregnant cow was sick and that is why it had a stillbirth. merɛɛ, merɛ, merɛ, merebɛ, meraa, merebɛ",
mere,mɪrɪ̀,,,"Pɔgeba maŋ mere la ba wagyɛ eŋ kyɛ zeŋ. Women usually push the flaps of their cloth in between their legs as they sit. merɛɛ, merɛ, merɛ, merebɛ, meraa, merebɛ",
bare,mɪrɪ́ ́ bàrɪ,,,"A peroo dɔgɛɛ la kyɛ mere bare ka a bilii kpi. The sheep littered but deserted the lambs and they died. mere barɛɛ, merɛbara, merebara, merebareba, merebaraa",
pare,mɪrɪ̀ ̀ párɪ,,,,
merete,mèrètè,adj,,"Ba yeli la a bie baaloŋ ko o saa ka o e merete. When they reported the child’s mother, he refused to do anything.",
meri,mérì,v,,"A bie lee la ka leɛ kaa kyɛ meri o noɔre. When the child fell, the brother looked at him but refused to bother. meree, mere, mere, meribe, meraa",
noɔre,mérì nʊ́ɔ́rɪ,,,,
meruu,mèrúú,adj,,,
mɛɛ,mɛ̀ɛ̀,adv,,,
mɛfaa,mɛfáá,,,,
mɛgelɛŋ,mɛgɪ́ lɛ́ ŋ,,,Lɔɔre do la a bogiti ka o e ŋmɛgelɛŋ lɛ. A car ran over the bucket and made it flat.,
mɛgeyɛgɛ,mɛgɪ́ yɛ́ gɛ́,,,,
mɛle,mɛlɪ́,,,,
mɛlefɛlɛ,mɛ̀lɪfɛ̀ ̀lɛ̀,adj,,N nɔŋ la zɛvaare zeɛre kyɛ ama deɛ waa la mɛlefɛlɛ lɛ. I like vegetable soup but this one is tasteless.,
mɛlemɛle,mɛ̀lɪmɛ́ ̀lɪ,,,"Saseɛ saŋa baguo ɔɔre maŋ erɛ la mɛlemɛle lɛ, Dagao poɔ. During hamattan, early mornings are normally very cold in the Dagaabaland.",
mɛlɛmɛlɛ,mɛlɛ́	mɛ́	lɛ́,,,,
mɛlɛmmɛlɛŋ,mɛlɛ́ mmɛ́ lɛ́ ŋ,,,"O yeli la a yɛlɛ mɛlɛmmɛlɛŋ lɛ, ka fo na teɛre ka yelimeŋɛ la. She narrated the case so beautifully that you would think it was true. mɛlɛntɛmm [mɛlɛ́ ntɛ́ mm]́ adv. (1) exactly; precisely, A bie manne la a yɛlɛ na o naŋ nyɛ mɛlɛntɛmm wa gaa. The boy narrated the story in a precise manner. (2) adj. meticulous",
mɛmeɛrɛ,mɛ̀mɪɛ́ rɛ́,,,,
mɛmɛrɛɛ,mɛ̀mɛrɛ́ ɛ́,,,,
mɛre,mɛrɪ́,,,"A baala mɛre la seemaa fẽẽ meŋ di. The patient has cooked some small food to eat. mɛrɛɛ, mɛrɛ, mɛrɛ, mɛrebɛ, mɛraa",
mɛrɛɛ,mɛ̀rɛɛ́ ̀,n,,,
